issn,publisher,title
0140-7791,Wiley (Blackwell Publishing),Plant Cell & Environment
0093-7711,Springer-Verlag,Immunogenetics
0048-5772,Wiley (Blackwell Publishing),Psychophysiology
0031-949X,Scientific Societies,Phytopathology
0025-5564,Elsevier ,Mathematical Biosciences
0022-2836,Elsevier ,Journal of Molecular Biology
0022-1333,Springer-Verlag,Journal of Genetics
0010-9452,Elsevier ,Cortex
0006-2960,American Chemical Society,Biochemistry
2405-8440,Elsevier ,Heliyon
2371-4379,JMIR Publications Inc.,JMIR Diabetes
2313-4321,MDPI AG,Recycling
2306-5710,MDPI AG,Beverages
2305-6320,MDPI AG,Medicines
2297-8739,MDPI AG,Separations
2296-4185,Frontiers Media SA,Frontiers in Bioengineering and Biotechnology
2291-9279,JMIR Publications Inc.,JMIR Serious Games
2227-9709,MDPI AG,Informatics
2227-9032,MDPI AG,Healthcare
2213-1582,Elsevier ,NeuroImage Clinical
2079-4983,MDPI AG,Journal of Functional Biomaterials
2077-1444,MDPI AG,Religions
2076-3921,MDPI AG,Antioxidants
2075-4663,MDPI AG,Sports
2073-431X,MDPI AG,Computers
2059-7983,International Union of Crystallography,Acta Crystallographica Section D Structural Biology
2058-5276,Springer Nature,Nature Microbiology
2055-0278,Springer Nature,Nature Plants
2050-0068,Wiley (John Wiley & Sons),Clinical & Translational Immunology
1940-9818,Future Science,BioTechniques
1932-6157,Institute of Mathematical Statistics,The Annals of Applied Statistics
1868-7083,Springer-Verlag,Clinical Epigenetics
1868-7075,Springer-Verlag,Clinical Epigenetics
1863-2661,Springer-Verlag,Brain Structure and Function
1863-2653,Springer-Verlag,Brain Structure and Function
1832-4274,Cambridge University Press,Twin Research and Human Genetics
1758-2229,Wiley (Blackwell Publishing),Environmental Microbiology Reports
1757-9708,The Royal Society of Chemistry,Integrative Biology
1757-9694,The Royal Society of Chemistry,Integrative Biology
1746-4811,Springer (Biomed Central Ltd.),Plant Methods
1741-7015,Springer (Biomed Central Ltd.),BMC Medicine
1740-634X,Springer Nature,Neuropsychopharmacology
1674-2052,Elsevier ,Molecular Plant
1664-3224,Frontiers Media SA,Frontiers in Immunology
1662-5153,Frontiers Media SA,Frontiers in Behavioral Neuroscience
1573-6792,Springer-Verlag,Brain Topography
1549-960X,American Chemical Society,Journal of Chemical Information and Modeling
1549-9596,American Chemical Society,Journal of Chemical Information and Modeling
1549-1676,Public Library of Science,PLoS Medicine
1520-6882,American Chemical Society,Analytical Chemistry
1475-2875,Springer (Biomed Central Ltd.),Malaria Journal
1469-8978,Cambridge University Press,Psychological Medicine
1466-822X,Wiley (Blackwell Publishing),Global Ecology and Biogeography
1465-7279,Oxford University Press,Behavioral Ecology
1465-2080,Microbiology Society,Microbiology
1432-1432,Springer-Verlag,Journal of Molecular Evolution
1422-8599,MDPI AG,Molbank
1350-0872,Microbiology Society,Microbiology
1098-5514,American Society for Microbiology,Journal of Virology
1089-7690,American Institute of Physics,The Journal of Chemical Physics
1066-5277,Mary Ann Liebert,Journal of Computational Biology
1059-7794,Wiley (John Wiley & Sons),Human Mutation
1045-2249,Oxford University Press,Behavioral Ecology
0961-8368,Wiley (John Wiley & Sons),Protein Science
0950-9232,Springer Nature,Oncogene
0896-0267,Springer-Verlag,Brain Topography
0893-133X,Springer Nature,Neuropsychopharmacology
0888-7543,Elsevier ,Genomics
0736-6205,Future Science,BioTechniques
0304-3940,Elsevier ,Neuroscience Letters
0198-8859,Elsevier ,Human Immunology
0149-7634,Elsevier ,Neuroscience & Biobehavioral Reviews
0033-2917,Cambridge University Press,Psychological Medicine
0022-538X,American Society for Microbiology,Journal of Virology
0022-2844,Springer-Verlag,Journal of Molecular Evolution
0021-9606,American Institute of Physics,The Journal of Chemical Physics
0014-5793,Wiley (John Wiley & Sons),FEBS Letters
0003-2700,American Chemical Society,Analytical Chemistry
0002-9483,Wiley (John Wiley & Sons),American Journal of Physical Anthropology
2561-326X,JMIR Publications Inc.,JMIR Formative Research
2475-4455,Wiley (John Wiley & Sons),Plant Direct
2411-9660,MDPI AG,Designs
2409-9287,MDPI AG,Philosophies
2352-3964,Elsevier ,EBioMedicine
2329-423X,SPIE - International Society for Optical Engineering,Neurophotonics
2311-5637,MDPI AG,Fermentation
2309-608X,MDPI AG,Journal of Fungi
2306-7381,MDPI AG,Veterinary Sciences
2306-5354,MDPI AG,Bioengineering
2306-5338,MDPI AG,Hydrology
2304-6775,MDPI AG,Publications
2304-6740,MDPI AG,Inorganics
2227-7102,MDPI AG,Education Sciences
2222-1751,Springer Nature,Emerging Microbes & Infections
2218-0532,MDPI AG,Scientia Pharmaceutica
2079-9284,MDPI AG,Cosmetics
2079-6439,MDPI AG,Fibers
2079-6374,MDPI AG,Biosensors
2078-1547,MDPI AG,Challenges
2077-0375,MDPI AG,Membranes
2076-393X,MDPI AG,Vaccines
2076-0752,MDPI AG,Arts
2075-4698,MDPI AG,Societies
2075-4450,MDPI AG,Insects
2075-4442,MDPI AG,Lubricants
2075-1702,MDPI AG,Machines
2073-4409,MDPI AG,Cells
2058-8615,Springer (Biomed Central Ltd.),Research Integrity and Peer Review
2056-5623,"""Future Science, LTD""",Future Science OA
2041-9139,Springer (Biomed Central Ltd.),EvoDevo
2041-6539,The Royal Society of Chemistry,Chemical Science
2041-6520,The Royal Society of Chemistry,Chemical Science
2041-1480,Springer (Biomed Central Ltd.),Journal of Biomedical Semantics
2040-2392,Springer (Biomed Central Ltd.),Molecular Autism
1999-5903,MDPI AG,Future Internet
1948-7193,American Chemical Society,ACS Chemical Neuroscience
1945-4589,"""Impact Journals, LLC """,Aging
1940-3372,The Plant Genome,The Plant Genome
1940-087X,MyJoVE Corporation,Journal of Visualized Experiments
1935-861X,Elsevier ,Brain Stimulation
1911-8074,MDPI AG,Journal of Risk and Financial Management
1874-1746,Springer-Verlag,Theoretical Ecology
1874-1738,Springer-Verlag,Theoretical Ecology
1872-4973,Elsevier ,Forensic Science International Genetics
1759-8753,Springer (Biomed Central Ltd.),Mobile DNA
1757-6334,World Scientific ,Journal of Bioinformatics and Computational Biology
1756-0500,Springer (Biomed Central Ltd.),BMC Research Notes
1755-4365,Elsevier ,Epidemics
1754-8411,The Company of Biologists,Disease Models & Mechanisms
1754-8403,The Company of Biologists,Disease Models & Mechanisms
1749-8104,Springer (Biomed Central Ltd.),Neural Development
1749-5024,Oxford University Press,Social Cognitive and Affective Neuroscience
1749-5016,Oxford University Press,Social Cognitive and Affective Neuroscience
1687-9678,Hindawi Publishing Corporation (Sage-Hindawi Access to Research),Stem Cells International
1687-966X,Hindawi Publishing Corporation (Sage-Hindawi Access to Research),Stem Cells International
1664-042X,Frontiers Media SA,Frontiers in Physiology
1662-5110,Frontiers Media SA,Frontiers in Neural Circuits
1601-1848,Wiley (Blackwell Publishing),Genes Brain & Behavior
1574-6968,Oxford University Press,FEMS Microbiology Letters
1572-9699,Springer-Verlag,Antonie van Leeuwenhoek
1558-2531,Institute of Electrical and Electronics Engineers,IEEE Transactions on Biomedical Engineering
1555-8584,Landes Bioscience,RNA Biology
1554-8937,American Chemical Society,ACS Chemical Biology
1554-8929,American Chemical Society,ACS Chemical Biology
1552-4469,Springer Nature,Nature Chemical Biology
1552-4450,Springer Nature,Nature Chemical Biology
1550-2376,American Physical Society,Physical Review E
1547-6286,Landes Bioscience,RNA Biology
1545-5963,Institute of Electrical and Electronics Engineers,IEEE/ACM Transactions on Computational Biology and Bioinformatics
1539-3755,American Physical Society,Physical Review E
1537-6591,Oxford University Press,Clinical Infectious Diseases
1537-2197,Wiley (John Wiley & Sons),American Journal of Botany
1534-5807,Elsevier ,Developmental Cell
1530-8561,American Association for Clinical Chemistry,Clinical Chemistry
1476-4679,Springer Nature,Nature Cell Biology
1473-0197,The Royal Society of Chemistry,Lab on a Chip
1473-0189,The Royal Society of Chemistry,Lab on a Chip
1471-9053,Oxford University Press,Plant and Cell Physiology
1471-2229,Springer (Biomed Central Ltd.),BMC Plant Biology
1471-2180,Springer (Biomed Central Ltd.),BMC Microbiology
1471-2156,Springer (Biomed Central Ltd.),BMC Genetics
1471-0064,Springer Nature,Nature Reviews Genetics
1471-0056,Springer Nature,Nature Reviews Genetics
1465-7392,Springer Nature,Nature Cell Biology
1460-2091,Oxford University Press,Journal of Antimicrobial Chemotherapy
1432-1939,Springer-Verlag,Oecologia
1398-9219,Wiley (Blackwell Publishing),Traffic
1369-5274,Elsevier ,Current Opinion in Microbiology
1354-1013,Wiley (Blackwell Publishing),Global Change Biology
1176-9343,"""Libertas Academica, Ltd.""",Evolutionary Bioinformatics
1098-6596,American Society for Microbiology,Antimicrobial Agents and Chemotherapy
1096-6080,Oxford University Press,Toxicological Sciences
1096-0929,Oxford University Press,Toxicological Sciences
1094-4087,The Optical Society,Optics Express
1058-4838,Oxford University Press,Clinical Infectious Diseases
1051-0761,Wiley (John Wiley & Sons),Ecological Applications
0959-4388,Elsevier ,Current Opinion in Neurobiology
0893-7648,Springer-Verlag,Molecular Neurobiology
0378-1119,Elsevier ,Gene
0305-7453,Oxford University Press,Journal of Antimicrobial Chemotherapy
0304-4165,Elsevier ,Biochimica et Biophysica Acta (BBA) - General Subjects
0219-7200,World Scientific ,Journal of Bioinformatics and Computational Biology
0214-6282,UPV/EHU Press,The International Journal of Developmental Biology
0092-8674,Elsevier ,Cell
0066-4804,American Society for Microbiology,Antimicrobial Agents and Chemotherapy
0032-0781,Oxford University Press,Plant and Cell Physiology
0029-8549,Springer-Verlag,Oecologia
0022-1910,Elsevier ,Journal of Insect Physiology
0022-1503,Oxford University Press,Journal of Heredity
0021-9967,Wiley (John Wiley & Sons),The Journal of Comparative Neurology
0018-9294,Institute of Electrical and Electronics Engineers,IEEE Transactions on Biomedical Engineering
0009-9147,American Association for Clinical Chemistry,Clinical Chemistry
0006-3592,Wiley (John Wiley & Sons),Biotechnology and Bioengineering
0006-3223,Elsevier ,Biological Psychiatry
0005-2736,Elsevier ,Biochimica et Biophysica Acta (BBA) - Biomembranes
0003-6072,Springer-Verlag,Antonie van Leeuwenhoek
0002-9122,Wiley (John Wiley & Sons),American Journal of Botany
2413-8851,MDPI AG,Urban Science
2412-3811,MDPI AG,Infrastructures
2411-5134,MDPI AG,Inventions
2398-5399,Open Access Text,Biomedical Genetics and Genomics
2373-8065,Springer Nature,npj Microgravity
2367-7163,Pensoft Publishers,Research Ideas and Outcomes
2332-7685,Institute of Electrical and Electronics Engineers,IEEE Life Sciences Letters
2324-8661,OMICS Publishing Group,Journal of Marine Biology & Oceanography
2314-6141,Hindawi Limited,BioMed Research International
2314-6133,Hindawi Limited,BioMed Research International
2313-7673,MDPI AG,Biomimetics
2311-5629,MDPI AG,C – Journal of Carbon Research
2305-7084,MDPI AG,ChemEngineering
2305-6304,MDPI AG,Toxics
2304-6732,MDPI AG,Photonics
2235-2988,Frontiers Media SA,Frontiers in Cellular and Infection Microbiology
2234-943X,Frontiers Media SA,Frontiers in Oncology
2227-9067,MDPI AG,Children
2227-9040,MDPI AG,Chemosensors
2227-7382,MDPI AG,Proteomes
2225-1146,MDPI AG,Econometrics
2218-2004,MDPI AG,Atoms
2218-1989,MDPI AG,Metabolites
2194-6302,Walter de Gruyter GmbH,Statistical Applications in Genetics and Molecular Biology
2169-0731,Landes Bioscience,Translation
2163-8306,Wiley (John Wiley & Sons),CPT Pharmacometrics & Systems Pharmacology
